RequestID,ArrivalTime,DelayTime,FinishTime,InitiatorID,TargetID,IOType,Size,VolumeID,Offset
1110000,12664301237.000004,5708,12664306945.000004,3,1,1,1536,3,5562496444.529581
1110001,12664308733.000015,2942,12664311675.000015,9,3,1,59904,9,4761109352.038721
1110002,12664310722.000038,2466,12664313188.000038,7,2,1,4608,7,10304383049.738892
1110003,12664325949.000023,57436,12664383385.000023,5,0,1,2560,5,925957216.5523648
1110004,12664328488.00006,67244,12664395732.00006,7,1,0,14336,7,9500210005.690027
1110005,12664354056.999971,109612,12664463668.999971,4,1,0,3072,4,2750879880.5452213
1110006,12664357124.999996,117587,12664474711.999996,4,2,1,4096,4,2189080446.442417
1110007,12664357902.999954,53690,12664411592.999954,7,0,0,2560,7,1699315511.4558196
1110008,12664365153.999979,75279,12664440432.999979,5,1,0,67072,5,10465604055.532587
1110009,12664403358.000008,59358,12664462716.000008,2,4,1,512,2,2528180461.479144
1110010,12664421032.000015,14800,12664435832.000015,9,2,1,2560,9,4859826556.123371
1110011,12664449795.000036,43900,12664493695.000036,3,2,1,512,3,2603278615.1561213
1110012,12664462090.999964,30618,12664492708.999964,0,1,1,3072,0,8706587241.186405
1110013,12664463112.99994,52360,12664515472.99994,3,4,1,17408,3,1528633325.2108872
1110014,12664474962.999992,13508,12664488470.999992,2,3,0,28672,2,6416989807.03756
1110015,12664475299.000013,3641,12664478940.000013,4,3,0,36352,4,3500221532.7794514
1110016,12664485707.00003,125220,12664610927.00003,1,3,1,26624,1,7076558794.059171
1110017,12664512397.999996,168780,12664681177.999996,7,2,0,26112,7,3653326169.868096
1110018,12664522830.999992,75585,12664598415.999992,4,2,0,10240,4,5094985300.881523
1110019,12664556864.000004,46241,12664603105.000004,3,1,1,512,3,8570011347.282839
1110020,12664557171.999962,63283,12664620454.999962,7,0,1,9728,7,2695639422.2554445
1110021,12664576212.000015,50667,12664626879.000015,9,2,1,7168,9,3267780434.638119
1110022,12664586526.000021,30740,12664617266.000021,7,4,0,70144,7,6809749389.30843
1110023,12664589941.000004,111302,12664701243.000004,8,3,0,71168,8,5661530953.109908
1110024,12664608561.999996,97578,12664706139.999996,8,4,0,20480,8,9602730888.33892
1110025,12664616471.000095,204239,12664820710.000095,3,0,1,1536,3,6010483393.0180855
1110026,12664626703.000021,76925,12664703628.000021,1,4,1,4096,1,9874841630.738623
1110027,12664629052.000015,54052,12664683104.000015,5,3,0,10752,5,4688651930.022098
1110028,12664654650.99992,23116,12664677766.99992,0,4,1,3584,0,6328659754.038786
1110029,12664656222.000013,150759,12664806981.000013,8,2,1,59392,8,10462259947.584362
1110030,12664662245.999979,151931,12664814176.999979,8,1,1,8704,8,1130314282.5627398
1110031,12664674812.99994,43366,12664718178.99994,6,3,1,4096,6,8991894964.73279
1110032,12664690952.000006,163043,12664853995.000006,9,2,0,41472,9,3048253737.4230576
1110033,12664745058.000021,33706,12664778764.000021,5,4,1,95744,5,10621356094.765265
1110034,12664775885.999958,30259,12664806144.999958,2,0,0,74240,2,5815114821.814952
1110035,12664791958.999979,21738,12664813696.999979,5,4,0,22528,5,1642728119.9644186
1110036,12664796583.999971,30760,12664827343.999971,4,1,0,13824,4,851416768.8133204
1110037,12664804385.000038,59959,12664864344.000038,7,4,1,3072,7,7689760425.481019
1110038,12664806410.999954,223720,12665030130.999954,7,0,0,2048,7,8218567852.60913
1110039,12664813609.000021,1898,12664815507.000021,3,2,0,44032,3,7264695586.135503
1110040,12664822730.999935,78640,12664901370.999935,0,3,1,5632,0,1621222238.119663
1110041,12664824519.99997,131214,12664955733.99997,0,3,0,82432,0,3003713910.09902
1110042,12664848567.999977,142672,12664991239.999977,2,3,1,3584,2,6782888887.647544
1110043,12664864840.999935,77512,12664942352.999935,0,3,1,1536,0,364597912.4781978
1110044,12664896645.000013,63067,12664959712.000013,1,0,0,1536,1,5559284292.353225
1110045,12664913411.999977,24313,12664937724.999977,2,3,1,22016,2,7684407656.170825
1110046,12664914091.99994,216224,12665130315.99994,6,3,1,512,6,3734837080.162633
