RequestID,ArrivalTime,DelayTime,FinishTime,InitiatorID,TargetID,IOType,Size,VolumeID,Offset
1110000,463223809708.0001,3418,463223813126.0001,9,0,1,13824,9,10732198455.87165
1110001,463223829578.9993,21912,463223851490.9993,2,0,0,3584,2,10711844887.96967
1110002,463223865209.9993,81748,463223946957.9993,2,0,0,35840,2,6314952442.065375
1110003,463223977649.9989,34363,463224012012.9989,1,0,0,56832,1,7179870470.504068
1110004,463224186494.9989,3894,463224190388.9989,1,0,0,4096,1,5061856506.804277
1110005,463225015545.0046,94528,463225110073.0046,6,0,1,20480,6,10618072221.944502
1110006,463225668337.9986,3418,463225671755.9986,9,0,0,3584,9,1965065615.2052941
1110007,463225954277.9989,32037,463225986314.9989,1,0,0,52224,1,1519832924.4368768
1110008,463226005625.0001,79831,463226085456.0001,9,0,1,512,9,6291659900.684279
1110009,463226286436.9989,13854,463226300290.9989,1,0,0,23552,1,10164967275.674978
1110010,463226497951.9993,40870,463226538821.9993,2,0,0,66048,2,6362554157.840836
1110011,463226624197.0043,562,463226624759.0043,5,0,0,512,5,934648612.808919
1110012,463227022590.0046,57748,463227080338.0046,6,0,1,5632,6,5462357436.062668
1110013,463227347748.9989,3418,463227351166.9989,1,0,0,3584,1,718481708.6436247
1110014,463227938029.0044,562,463227938591.0044,5,0,0,512,5,1679567389.4276547
1110015,463228090536.9957,52360,463228142896.9957,8,0,1,3072,8,3013119437.737875
1110016,463228874629.0001,45592,463228920221.0001,9,0,1,1024,9,2301221034.0370607
1110017,463229355495.0044,2466,463229357961.0044,5,0,0,2560,5,2611393419.540306
1110018,463229600596.0001,10495,463229611091.0001,9,0,1,20480,9,6016866834.423207
1110019,463229653476.9986,92992,463229746468.9986,9,0,0,16896,9,507866747.50888115
1110020,463230408424.9989,13766,463230422190.9989,1,0,0,26624,1,773482140.3377056
1110021,463230672598.9989,12045,463230684643.9989,1,0,0,19968,1,5746659799.651335
1110022,463230975873.9984,80080,463231055953.9984,7,0,1,18432,7,1007638219.6962976
1110023,463231631661.9984,47284,463231678945.9984,7,0,1,1536,7,5715102197.705089
1110024,463232440202.0044,1038,463232441240.0044,5,0,0,1024,5,3056694715.177575
1110025,463233482824.9984,75448,463233558272.9984,7,0,1,13312,7,10082817320.254642
1110026,463234203560.0001,48976,463234252536.0001,9,0,1,2048,9,3745162990.9048185
1110027,463234361626.9992,40870,463234402496.9992,2,0,0,66048,2,1297835344.1218064
1110028,463234439963.0046,45592,463234485555.0046,6,0,1,1024,6,3774999483.64353
1110029,463234490681.0028,45592,463234536273.0028,0,0,1,1024,0,102905587.1357441
1110030,463234774334.0029,50668,463234825002.0029,1,0,1,2560,1,501290229.0679144
1110031,463234992758.0046,55744,463235048502.0046,6,0,1,4096,6,8598697713.822445
1110032,463235213829.9992,35567,463235249396.9992,2,0,0,62464,2,3267581549.123334
1110033,463235239938.9984,55744,463235295682.9984,7,0,1,4096,7,9033191730.880672
1110034,463235387093.0001,86571,463235473664.0001,9,0,1,8704,9,5140225181.661044
1110035,463235550260.0044,1990,463235552250.0044,5,0,0,2048,5,3841996816.3318367
1110036,463235557426.0046,47284,463235604710.0046,6,0,1,1536,6,8305021909.720476
1110037,463235683397.0001,54052,463235737449.0001,9,0,1,3584,9,7487171714.029522
1110038,463236587101.0028,67588,463236654689.0028,0,0,1,7680,0,4682789600.732014
1110039,463236831956.0001,48976,463236880932.0001,9,0,1,2048,9,1852835751.6440773
1110040,463237007177.0001,50668,463237057845.0001,9,0,1,2560,9,1785689322.7044234
1110041,463237517746.0028,50668,463237568414.0028,0,0,1,2560,0,1146194481.209048
1110042,463237779125.0044,1990,463237781115.0044,5,0,0,2048,5,10173572158.99545
1110043,463238683476.9986,3124,463238686600.9986,9,0,0,9216,9,8120740201.163844
1110044,463238947198.0001,47284,463238994482.0001,9,0,1,1536,9,5706010435.477157
1110045,463239112698.0028,52360,463239165058.0028,0,0,1,3072,0,6737281764.316997
1110046,463239272733.9986,50995,463239323728.9986,9,0,0,82432,9,1548258082.4120295
1110047,463239628293.0001,50668,463239678961.0001,9,0,1,2560,9,9371832500.393385
1110048,463239910017.9986,14113,463239924130.9986,9,0,0,24064,9,8207802391.983705
1110049,463240061517.0,109924,463240171441.0,5,0,1,60928,5,2839148413.773141
1110050,463240370889.0001,47284,463240418173.0001,9,0,1,1536,9,424024834.91776586
1110051,463240538483.0028,48976,463240587459.0028,0,0,1,2048,0,8894205509.64714
1110052,463240634434.0028,99628,463240734062.0028,0,0,1,27136,0,7652735704.354433
1110053,463241058874.0,94240,463241153114.0,5,0,1,24576,5,7566637248.981083
1110054,463241201746.0,84532,463241286278.0,5,0,1,17920,5,7032790482.88704
1110055,463241256463.9984,45592,463241302055.9984,7,0,1,1024,7,8464995677.821692
1110056,463242485485.0001,1514,463242486999.0001,9,0,1,4096,9,2380088464.4308033
1110057,463242530284.0044,55744,463242586028.0044,5,0,0,1536,5,10312118790.6624
1110058,463242734909.0001,65896,463242800805.0001,9,0,1,7168,9,1428402094.436853
1110059,463242759733.9957,57436,463242817169.9957,8,0,1,4608,8,2744194383.9123354
1110060,463243885341.9984,48976,463243934317.9984,7,0,1,2048,7,1793603776.9090984
1110061,463244688214.9986,106700,463244794914.9986,9,0,0,177664,9,2592014723.1722302
1110062,463245591818.9984,52360,463245644178.9984,7,0,1,3072,7,759642673.8138701
1110063,463245733545.9992,21912,463245755457.9992,2,0,0,35840,2,8988019638.589333
1110064,463246175502.9984,66988,463246242490.9984,7,0,1,10752,7,1521565106.94399
1110065,463246631310.9986,4846,463246636156.9986,9,0,0,5120,9,2112240706.8937755
1110066,463247221638.9989,24925,463247246563.9989,1,0,0,45056,1,4899529689.239861
1110067,463247367247.9989,11529,463247378776.9989,1,0,0,18944,1,2609217991.8849373
1110068,463247752307.0028,43900,463247796207.0028,0,0,1,512,0,9385661713.272541
1110069,463247952169.0,108052,463248060221.0,5,0,1,54784,5,7554529258.498313
1110070,463248048994.9992,15635,463248064629.9992,2,0,0,11776,2,1106323206.3117564
1110071,463248757570.9984,79744,463248837314.9984,7,0,1,12288,7,4295810364.138135
1110072,463250216606.0028,54988,463250271594.0028,0,0,1,6656,0,10082485716.324265
1110073,463250701310.9986,6274,463250707584.9986,9,0,0,6656,9,1424503405.746559
1110074,463250770708.9984,45904,463250816612.9984,7,0,1,2048,7,5026134492.9040575
1110075,463252202064.9984,74692,463252276756.9984,7,0,1,15872,7,8219431018.198655
1110076,463252392469.00397,20620,463252413089.00397,7,0,0,33280,7,763980046.1358452
1110077,463252499263.9992,4675,463252503938.9992,2,0,0,12288,2,10430751140.909636
1110078,463252554963.9993,4846,463252559809.9993,2,0,0,5120,2,2082932163.7262871
1110079,463252846765.0028,67588,463252914353.0028,0,0,1,7680,0,3840611598.7972455
1110080,463253040748.9993,62154,463253102902.9993,2,0,0,100864,2,3421475947.983526
1110081,463253385928.9984,48976,463253434904.9984,7,0,1,2048,7,9796986785.661798
1110082,463253542391.9984,50668,463253593059.9984,7,0,1,2560,7,5098306486.960296
1110083,463254440270.9989,21395,463254461665.9989,1,0,0,34816,1,5951388091.597906
1110084,463254599623.00397,62670,463254662293.00397,7,0,0,101888,7,9145916485.2053
1110085,463254989452.9993,4416,463254993868.9993,2,0,0,11776,2,6837451119.009744
1110086,463255016384.0001,78232,463255094616.0001,9,0,1,17408,9,1422840594.5873713
1110087,463255305126.9984,57436,463255362562.9984,7,0,1,4608,7,9919343218.284628
1110088,463255505259.9989,15575,463255520834.9989,1,0,0,30208,1,7161024403.758299
1110089,463255639465.00397,5450,463255644915.00397,7,0,0,13824,7,2308735022.452221
1110090,463256648105.9993,4675,463256652780.9993,2,0,0,12288,2,4162148393.47358
1110091,463257604816.9989,4675,463257609491.9989,1,0,0,12288,1,4913876724.1109495
1110092,463259487942.9986,16092,463259504034.9986,9,0,0,31232,9,7945848430.345546
1110093,463259879285.0,104932,463259984217.0,5,0,1,44544,5,7926633271.682935
1110094,463260605089.0044,1038,463260606127.0044,5,0,0,1024,5,6761471682.626071
1110095,463261974620.9989,23116,463261997736.9989,1,0,0,41472,1,9521225200.168009
1110096,463262059714.9989,4846,463262064560.9989,1,0,0,5120,1,7009248279.802093
1110097,463262098773.0044,562,463262099335.0044,5,0,0,512,5,1566449167.9326332
1110098,463262165685.9986,12991,463262178676.9986,9,0,0,25088,9,7546186846.305953
1110099,463262420346.0,76984,463262497330.0,5,0,1,13312,5,1467651066.9666884
1110100,463262713759.997,94972,463262808731.997,3,0,1,16896,3,8530726650.579231
1110101,463263238316.0,111640,463263349956.0,5,0,1,66560,5,1285933877.4290276
1110102,463264044239.00397,2866,463264047105.00397,7,0,0,8704,7,8958235382.647198
1110103,463264392383.0044,562,463264392945.0044,5,0,0,512,5,1934046915.2606761
1110104,463264394900.0,103996,463264498896.0,5,0,1,41472,5,9677886243.863337
1110105,463265324963.0044,1038,463265326001.0044,5,0,0,1024,5,5628706125.379396
1110106,463265722576.9957,57436,463265780012.9957,8,0,1,4608,8,6748533426.749582
1110107,463266749775.0001,55744,463266805519.0001,9,0,1,4096,9,6469128643.976346
1110108,463267429055.9986,14541,463267443596.9986,9,0,0,28160,9,1080775426.4345813
1110109,463268190813.0044,562,463268191375.0044,5,0,0,512,5,6082316724.860062
1110110,463269124008.0044,562,463269124570.0044,5,0,0,512,5,10106609542.778551
1110111,463270001085.0002,70972,463270072057.0002,9,0,1,8704,9,1664746669.10146
1110112,463270155196.0002,52360,463270207556.0002,9,0,1,3072,9,4202549094.7767034
1110113,463270319183.9993,5322,463270324505.9993,2,0,0,5632,2,1333438445.1771092
1110114,463271417832.9984,52360,463271470192.9984,7,0,1,3072,7,4118193708.6565256
1110115,463271651928.0002,56212,463271708140.0002,9,0,1,5632,9,3255122007.2884197
1110116,463272387264.9986,25958,463272413222.9986,9,0,0,47104,9,3945979269.957357
1110117,463272428782.9993,6274,463272435056.9993,2,0,0,6656,2,10293263959.272623
1110118,463272570069.0,116788,463272686857.0,5,0,1,83456,5,4246563312.0815797
1110119,463273264982.0,91276,463273356258.0,5,0,1,14848,5,10564469051.681757
1110120,463273441980.9993,1990,463273443970.9993,2,0,0,2048,2,639595921.8186356
1110121,463274098840.0002,47284,463274146124.0002,9,0,1,1536,9,285633060.1647985
1110122,463275042563.997,71152,463275113715.997,3,0,1,14336,3,2028781875.084472
1110123,463275426085.0,98560,463275524645.0,5,0,1,28672,5,5461199359.126035
1110124,463275533180.0,100564,463275633744.0,5,0,1,30208,5,5741405201.859771
1110125,463275912350.997,48976,463275961326.997,3,0,1,2048,3,1098857795.1127267
1110126,463277184655.0,89944,463277274599.0,5,0,1,25600,5,154950920.92363596
1110127,463278215480.00397,5967,463278221447.00397,7,0,0,14848,7,9883044153.77957
1110128,463278677987.0,69280,463278747267.0,5,0,1,8192,5,2891273388.010622
1110129,463280178347.00397,43196,463280221543.00397,7,0,0,70656,7,1641255174.5007074
1110130,463280876603.9957,45592,463280922195.9957,8,0,1,1024,8,3719264598.2313037
1110131,463281147097.9969,45592,463281192689.9969,3,0,1,1024,3,502660411.0503304
1110132,463281393216.9957,78052,463281471268.9957,8,0,1,11776,8,2514308106.9905624
1110133,463281575240.9989,2866,463281578106.9989,1,0,0,8704,1,1914590004.6258762
1110134,463282150537.9989,4370,463282154907.9989,1,0,0,4608,1,6302797270.830421
1110135,463282195894.9999,59128,463282255022.9999,5,0,1,5120,5,8134997149.444152
1110136,463282266382.9989,1990,463282268372.9989,1,0,0,2048,1,988887211.5970721
1110137,463282317739.00397,6274,463282324013.00397,7,0,0,6656,7,8102221744.38151
1110138,463282615328.9999,45592,463282660920.9999,5,0,1,1024,5,7147969704.704327
1110139,463283880614.0044,1038,463283881652.0044,5,0,0,1024,5,1854764369.4421933
1110140,463283991361.0044,22170,463284013531.0044,5,0,0,36352,5,5756165291.811248
1110141,463284087262.9989,562,463284087824.9989,1,0,0,512,1,5626985694.592926
1110142,463284346806.0002,52360,463284399166.0002,9,0,1,3072,9,7132210248.496713
1110143,463284442596.9999,52516,463284495112.9999,5,0,1,3584,5,1012497242.2726963
1110144,463284700102.9969,48976,463284749078.9969,3,0,1,2048,3,1367986049.9322212
1110145,463285278976.9993,4675,463285283651.9993,2,0,0,12288,2,1409137289.041301
1110146,463285518670.9999,47284,463285565954.9999,5,0,1,1536,5,6352477128.490454
1110147,463286052496.9989,562,463286053058.9989,1,0,0,512,1,53250741.39405131
1110148,463286223334.0044,7226,463286230560.0044,5,0,0,7680,5,3197133868.372139
1110149,463286386850.9989,1514,463286388364.9989,1,0,0,1536,1,4344680634.747132
1110150,463287687860.0045,41387,463287729247.0045,5,0,0,67072,5,8216415340.92862
1110151,463287863166.00397,31003,463287894169.00397,7,0,0,50176,7,7914837494.998094
1110152,463288598767.00397,21395,463288620162.00397,7,0,0,34816,7,9913390911.327608
1110153,463289885406.9993,76325,463289961731.9993,2,0,0,128512,2,9304591869.950079
