time: 2000000000
256 1 1
256 2 1
256 3 1
256 4 1
256 5 1
256 6 1
256 7 1
256 8 1
256 9 1
256 10 1
256 11 1
256 12 1
256 13 1
256 14 1
256 15 1
256 16 1
256 17 1
256 18 1
257 1 1
257 2 1
257 3 1
257 4 1
257 5 1
257 6 1
257 7 1
257 8 1
257 9 1
257 10 1
257 11 1
257 12 1
257 13 1
257 14 1
257 15 1
257 16 1
257 17 1
257 18 1
258 1 1
258 2 1
258 3 1
258 4 1
258 5 1
258 6 1
258 7 1
258 8 1
258 9 1
258 10 1
258 11 1
258 12 1
258 13 1
258 14 1
258 15 1
258 16 1
258 17 1
258 18 1
259 1 1
259 2 1
259 3 1
259 4 1
259 5 1
259 6 1
259 7 1
259 8 1
259 9 1
259 10 1
259 11 1
259 12 1
259 13 1
259 14 1
259 15 1
259 16 1
259 17 1
259 18 1
260 1 1
260 2 1
260 3 1
260 4 1
260 5 1
260 6 1
260 7 1
260 8 1
260 9 1
260 10 1
260 11 1
260 12 1
260 13 1
260 14 1
260 15 1
260 16 1
260 17 1
260 18 1
261 1 1
261 2 1
261 3 1
261 4 1
261 5 1
261 6 1
261 7 1
261 8 1
261 9 1
261 10 1
261 11 1
261 12 1
261 13 1
261 14 1
261 15 1
261 16 1
261 17 1
261 18 1
262 1 1
262 2 1
262 3 1
262 4 1
262 5 1
262 6 1
262 7 1
262 8 1
262 9 1
262 10 1
262 11 1
262 12 1
262 13 1
262 14 1
262 15 1
262 16 1
262 17 1
262 18 1
263 1 1
263 2 1
263 3 1
263 4 1
263 5 1
263 6 1
263 7 1
263 8 1
263 9 1
263 10 1
263 11 1
263 12 1
263 13 1
263 14 1
263 15 1
263 16 1
263 17 1
263 18 1
264 1 1
264 2 1
264 3 1
264 4 1
264 5 1
264 6 1
264 7 1
264 8 1
264 9 1
264 10 1
264 11 1
264 12 1
264 13 1
264 14 1
264 15 1
264 16 1
264 17 1
264 18 1
265 1 1
265 2 1
265 3 1
265 4 1
265 5 1
265 6 1
265 7 1
265 8 1
265 9 1
265 10 1
265 11 1
265 12 1
265 13 1
265 14 1
265 15 1
265 16 1
265 17 1
265 18 1
266 1 1
266 2 1
266 3 1
266 4 1
266 5 1
266 6 1
266 7 1
266 8 1
266 9 1
266 10 1
266 11 1
266 12 1
266 13 1
266 14 1
266 15 1
266 16 1
266 17 1
266 18 1
267 1 1
267 2 1
267 3 1
267 4 1
267 5 1
267 6 1
267 7 1
267 8 1
267 9 1
267 10 1
267 11 1
267 12 1
267 13 1
267 14 1
267 15 1
267 16 1
267 17 1
267 18 1
268 1 1
268 2 1
268 3 1
268 4 1
268 5 1
268 6 1
268 7 1
268 8 1
268 9 1
268 10 1
268 11 1
268 12 1
268 13 1
268 14 1
268 15 1
268 16 1
268 17 1
268 18 1
269 1 1
269 2 1
269 3 1
269 4 1
269 5 1
269 6 1
269 7 1
269 8 1
269 9 1
269 10 1
269 11 1
269 12 1
269 13 1
269 14 1
269 15 1
269 16 1
269 17 1
269 18 1
270 1 1
270 2 1
270 3 1
270 4 1
270 5 1
270 6 1
270 7 1
270 8 1
270 9 1
270 10 1
270 11 1
270 12 1
270 13 1
270 14 1
270 15 1
270 16 1
270 17 1
270 18 1
271 1 1
271 2 1
271 3 1
271 4 1
271 5 1
271 6 1
271 7 1
271 8 1
271 9 1
271 10 1
271 11 1
271 12 1
271 13 1
271 14 1
271 15 1
271 16 1
271 17 1
271 18 1
272 1 1
272 2 1
272 3 1
272 4 1
272 5 1
272 6 1
272 7 1
272 8 1
273 1 1
273 2 1
273 3 1
273 4 1
273 5 1
273 6 1
273 7 1
273 8 1
274 1 1
274 2 1
274 3 1
274 4 1
274 5 1
274 6 1
274 7 1
274 8 1
275 1 1
275 2 1
275 3 1
275 4 1
275 5 1
275 6 1
275 7 1
275 8 1
276 1 1
276 2 1
276 3 1
276 4 1
276 5 1
276 6 1
276 7 1
276 8 1
277 1 1
277 2 1
277 3 1
277 4 1
277 5 1
277 6 1
277 7 1
277 8 1
278 1 1
278 2 1
278 3 1
278 4 1
278 5 1
278 6 1
278 7 1
278 8 1
279 1 1
279 2 1
279 3 1
279 4 1
279 5 1
279 6 1
279 7 1
279 8 1
280 1 1
280 2 1
280 3 1
280 4 1
281 1 1
281 2 1
281 3 1
281 4 1
282 1 1
282 2 1
282 3 1
282 4 1
283 1 1
283 2 1
283 3 1
283 4 1
284 1 1
284 2 1
284 3 1
284 4 1
285 1 1
285 2 1
285 3 1
285 4 1
286 1 1
286 2 1
286 3 1
286 4 1
287 1 1
287 2 1
287 3 1
287 4 1
