RequestID,ArrivalTime,DelayTime,FinishTime,InitiatorID,TargetID,IOType,Size,VolumeID,Offset
1110000,114712948204.00032,3900,114712952104.00032,7,0,0,10752,7,4982990107.651014
1110001,114713278442.00032,23979,114713302421.00032,7,0,0,39936,7,4871442219.266195
1110002,114713324931.99968,151420,114713476351.99968,8,0,1,512,8,5508586352.699489
1110003,114713571170.00067,48976,114713620146.00067,3,0,1,2048,3,5845400985.366625
1110004,114713623644.9994,74356,114713698000.9994,1,0,1,9728,1,6214567330.562679
1110005,114713855414.00075,70216,114713925630.00075,9,0,1,11264,9,10478806219.201393
1110006,114714025226.00032,12304,114714037530.00032,7,0,0,20480,7,2146354224.2529106
1110007,114714340131.00032,2466,114714342597.00032,7,0,0,2560,7,2519634495.049671
1110008,114714515434.00067,52360,114714567794.00067,3,0,1,3072,3,8178339663.411759
1110009,114714586072.00012,25700,114714611772.00012,4,0,0,46592,4,2834285284.940851
1110010,114714903826.99872,5192,114714909018.99872,0,0,0,13312,0,7881947294.809044
1110011,114715071797.99968,48976,114715120773.99968,8,0,1,2048,8,5024577106.322914
1110012,114715193930.9994,86200,114715280130.9994,1,0,1,13312,1,9324412064.769869
1110013,114715375040.99872,13249,114715388289.99872,0,0,0,25600,0,3473592108.5952845
1110014,114715523487.99953,52984,114715576471.99953,6,0,1,5120,6,3461997691.273155
1110015,114715531402.99953,48585,114715579987.99953,6,0,1,1536,6,5774095256.887822
1110016,114715555953.99872,64221,114715620174.99872,0,0,0,104960,0,2047719792.210579
1110017,114715569159.99968,92224,114715661383.99968,8,0,1,512,8,5245047188.34021
1110018,114715927893.0011,60820,114715988713.0011,0,0,1,5632,0,4764751117.512121
1110019,114716014512.00035,57109,114716071621.00035,7,0,0,97792,7,2453300924.639761
1110020,114716030323.00075,121566,114716151889.00075,9,0,1,6656,9,10567630130.79376
1110021,114716167462.00012,23633,114716191095.00012,4,0,0,42496,4,5603834360.844953
1110022,114716445737.99844,43900,114716489637.99844,5,0,1,7168,5,2593530740.691513
1110023,114716456232.00075,61288,114716517520.00075,9,0,1,512,9,4332209946.168075
1110024,114716500780.00113,54052,114716554832.00113,0,0,1,3584,0,5583719688.279
1110025,114716549921.9994,49288,114716599209.9994,1,0,1,3072,1,4095951740.3123736
1110026,114716646707.00032,73741,114716720448.00032,7,0,0,123392,7,10556205904.890692
1110027,114716841220.00075,82038,114716923258.00075,9,0,1,7680,9,7467048936.8483095
1110028,114717021207.00035,21654,114717042861.00035,7,0,0,35328,7,9145754626.069231
1110029,114717044630.99844,93392,114717138022.99844,5,0,1,512,5,4306297650.082451
1110030,114717093682.99953,60820,114717154502.99953,6,0,1,5632,6,9925525226.654354
1110031,114717273265.0011,67588,114717340853.0011,0,0,1,7680,0,8917475906.002146
1110032,114717276100.00075,68664,114717344764.00075,9,0,1,12800,9,7920975599.884625
1110033,114717390199.00035,3641,114717393840.00035,7,0,0,10240,7,4302531499.2158575
1110034,114717761501.9994,10237,114717771738.9994,1,0,1,4608,1,5529220413.401097
1110035,114717781958.00012,55900,114717837858.00012,4,0,0,16384,4,8680394384.356367
1110036,114718026112.99953,55744,114718081856.99953,6,0,1,4096,6,8524763369.255061
1110037,114718051088.99844,61518,114718112606.99844,5,0,1,3072,5,9815206629.896996
1110038,114718056555.99968,89164,114718145719.99968,8,0,1,23040,8,8899646498.505995
1110039,114718334167.00012,21395,114718355562.00012,4,0,0,34816,4,5898521788.549041
1110040,114718517679.0011,48976,114718566655.0011,0,0,1,2048,0,7479207246.0847845
1110041,114718901516.99953,45592,114718947108.99953,6,0,1,1024,6,535609463.6251128
1110042,114718912526.99968,1990,114718914516.99968,8,0,1,3584,8,9365979119.725523
1110043,114718949309.00012,54052,114719003361.00012,4,0,0,2048,4,3424691748.08086
1110044,114719235824.00113,64204,114719300028.00113,0,0,1,6656,0,6743570415.130343
1110045,114719281151.99918,62389,114719343540.99918,2,0,1,1024,2,7750430545.289023
1110046,114719353931.99953,562,114719354493.99953,6,0,1,2560,6,7023010449.488078
1110047,114719361941.00012,50668,114719412609.00012,4,0,0,512,4,7690711404.135994
1110048,114719627664.99968,43900,114719671564.99968,8,0,1,512,8,8335642157.143531
