RequestID,ArrivalTime,DelayTime,FinishTime,InitiatorID,TargetID,IOType,Size,VolumeID,Offset
0,0,22691,22691,0,0,1,37376,29,8926903649
1,1,101660,101661,0,3,0,33792,37,4226030008
2,2,114296,114298,0,4,0,75264,12,7253549806
3,3,43904,43907,0,5,0,512,20,5723713301
4,4,12825,12829,0,1,1,21504,18,3571373116
5,5,6754,6759,0,6,1,7168,14,9963649312
6,6,3645,3651,0,7,1,10240,40,7592118696
7,7,36604,36611,0,8,1,64512,21,2038464417
8,8,43904,43912,0,9,0,512,45,1531733535
9,9,16354,16363,0,2,1,31744,14,8971653500
10,31999,5598,37597,0,8,1,1536,21,5732155928
11,41473,3898,45371,0,5,1,4096,20,1658185780
12,62418,2946,65364,0,1,1,3072,18,2709104046
13,130332,4937,135269,0,1,1,12800,18,6633542285
14,145202,102596,247798,0,6,0,36864,14,7939147015
15,204208,138636,342844,0,6,0,120832,14,4663728149
16,279815,20624,300439,0,2,1,33280,14,2416112980
17,349781,15062,364843,0,0,1,29184,29,2946860161
18,359099,117104,476203,0,6,0,84480,14,339840184
19,531485,1994,533479,0,7,1,2048,40,10470127207
20,543537,115700,659237,0,3,0,79872,37,4899490834
21,572922,5196,578118,0,5,1,13312,20,8813085644
22,599035,4679,603714,0,7,1,12288,40,5881379160
23,608447,13858,622305,0,0,1,23552,29,2645908540
24,627908,3387,631295,0,5,1,9728,20,1347092301
25,629100,195272,824372,0,4,0,179712,12,9129399941
26,671660,3898,675558,0,7,1,4096,40,7530660369
27,710081,1518,711599,0,7,1,1536,40,7674472916
28,715738,4420,720158,0,6,1,11776,14,3122993838
29,756706,6488,763194,0,7,1,15872,40,7275892413
30,764452,5802,770254,0,6,1,6144,14,473991714
31,817668,121628,939296,0,6,0,99328,14,1846965327
32,819053,197612,1016665,0,3,0,187392,37,6593427671
33,844911,90892,935803,0,3,0,1536,37,8825818001
34,852973,5712,858685,0,1,1,14336,18,4205732026
35,866224,3898,870122,0,7,1,4096,40,4073161222
36,868455,2870,871325,0,1,1,8704,18,2092601894
37,868947,5712,874659,0,0,1,14336,29,9931917748
38,973149,3898,977047,0,2,1,4096,14,9039424874
39,1021407,48980,1070387,0,5,0,2048,20,3773414775
40,1050625,106964,1157589,0,9,0,51200,45,5425970203
41,1118413,13083,1131496,0,7,1,22016,40,2318867134
42,1153990,43904,1197894,0,5,0,512,20,3548054077
43,1159325,101816,1261141,0,3,0,34304,37,2463724540
44,1160181,74672,1234853,0,4,0,10752,12,933555646
45,1161462,4937,1166399,0,5,1,12800,20,737531831
46,1173882,5326,1179208,0,6,1,5632,14,5328680267
47,1200401,3422,1203823,0,3,1,3584,37,7880628686
48,1210935,11274,1222209,0,0,1,18432,29,7350051413
49,1266625,286388,1553013,0,9,0,317440,45,3394612682
50,1274379,239363,1513742,0,8,1,392704,21,3480136635
51,1298920,52364,1351284,0,6,0,3072,14,7742394376
52,1434826,202604,1637430,0,9,0,203776,45,3444057260
53,1518836,113048,1631884,0,2,0,71168,14,7186615699
54,1524030,5196,1529226,0,8,1,13312,21,8916634826
55,1638238,193145,1831383,0,2,0,111104,14,8596881513
56,1644322,24242,1668564,0,2,1,40448,14,3142808858
57,1671789,1042,1672831,0,1,1,1024,18,2407175772
58,1706079,4420,1710499,0,1,1,11776,18,2268286282
59,1714547,293096,2007643,0,9,0,339456,45,6619517965
60,1721289,363059,2084348,0,2,0,52736,14,5751810836
61,1760037,308220,2068257,0,2,0,337920,14,4848631473
62,1805808,80396,1886204,0,3,0,19456,37,490710795
63,1949744,375944,2325688,0,4,0,450048,12,2833538437
64,2041417,21141,2062558,0,3,1,34304,37,9608438995
65,2043369,154464,2197833,0,2,0,125440,14,301621220
66,2092217,246590,2338807,0,4,0,43008,12,3944636362
67,2100366,12737,2113103,0,3,1,24576,37,6236566737
68,2128091,124280,2252371,0,6,0,108032,14,10665658934
69,2144374,212963,2357337,0,3,0,57344,37,2063118330
70,2274490,23120,2297610,0,3,1,41472,37,2296358796
71,2292372,188720,2481092,0,2,0,158208,14,1269093579
72,2318411,57440,2375851,0,5,0,4608,20,6280048173
73,2336414,5196,2341610,0,5,1,13312,20,8654888943
74,2345673,12698,2358371,0,3,1,1024,37,348042008
75,2353501,52676,2406177,0,5,0,4096,20,8494713530
76,2358565,173336,2531901,0,9,0,153088,45,8659199624
77,2359428,188096,2547524,0,6,0,156160,14,7297886707
78,2396880,13083,2409963,0,0,1,22016,29,1092001441
79,2409332,321050,2730382,0,3,0,364544,37,1518073110
80,2421005,5196,2426201,0,0,1,13312,29,6996511697
81,2481029,82666,2563695,0,8,1,134144,21,5438901408
82,2562497,196052,2758549,0,2,0,182272,14,8420549667
83,2565797,14029,2579826,0,5,1,27136,20,9235874381
84,2677571,13512,2691083,0,8,1,26112,21,923229366
85,2687934,81632,2769566,0,8,1,132096,21,1262166828
86,2731587,4420,2736007,0,5,1,11776,20,9383465071
87,2757664,566,2758230,0,7,1,512,40,3724187112
88,2775330,10499,2785829,0,7,1,16896,40,8567922312
89,2802447,1518,2803965,0,5,1,1536,20,2930561518
90,2804013,14545,2818558,0,5,1,28160,20,4350418052
91,2858131,2470,2860601,0,7,1,2560,40,5896830910
92,2877855,53495,2931350,0,8,1,90624,21,8433846974
93,2907163,118976,3026139,0,9,0,90624,45,7117177901
94,2954561,83958,3038519,0,8,1,136704,21,6005627180
95,3052446,1518,3053964,0,2,1,1536,14,3631889864
96,3056614,2870,3059484,0,5,1,8704,20,7860494175
97,3179202,566,3179768,0,5,1,512,20,4597757834
98,3200007,112424,3312431,0,3,0,69120,37,4600316283
99,3212206,1994,3214200,0,0,1,2048,29,7511792506
100,3239671,3898,3243569,0,2,1,4096,14,7316834992
101,3270096,135222,3405318,0,2,0,126464,14,2810172153
102,3275457,51257,3326714,0,8,1,82944,21,2607887625
103,3378960,5454,3384414,0,0,1,13824,29,9836861887
104,3399475,45596,3445071,0,5,0,1024,20,3611427478
105,3434226,199640,3633866,0,3,0,194048,37,3616364516
106,3449312,48980,3498292,0,5,0,2048,20,1383870819
107,3513040,12825,3525865,0,5,1,21504,20,2541477805
108,3645566,132992,3778558,0,3,0,131584,37,2886627186
109,3732122,55748,3787870,0,2,0,4096,14,7057758484
110,3738861,210092,3948953,0,6,0,228352,14,7825163384
111,3763908,2870,3766778,0,5,1,8704,20,603291863
112,3787134,2470,3789604,0,5,1,2560,20,787802826
113,3790860,4374,3795234,0,5,1,4608,20,8561173455
114,3801342,127212,3928554,0,8,1,210944,21,2386155402
115,3815637,47288,3862925,0,2,0,1536,14,896092305
116,3857853,92411,3950264,0,8,1,71168,21,3963587226
117,3909885,4162,3914047,0,5,1,11264,20,7648759333
118,3967934,3645,3971579,0,2,1,10240,14,1585628389
119,3976663,20366,3997029,0,2,1,32768,14,1687257446
120,3981978,304899,4286877,0,8,1,493568,21,4824742495
121,3998158,543157,4541315,0,8,1,666112,21,5650398990
