RequestID,ArrivalTime,DelayTime,FinishTime,InitiatorID,TargetID,IOType,Size,VolumeID,Offset
0,0,127423,127423,0,0,0,20480,6,4588642339
1,1,3702,3703,8,0,1,3584,3,7350644012
2,2,5327,5329,9,0,1,2560,5,9631020286
3,3,7912,7915,4,0,1,4096,18,5830819570
4,4,45756,45760,1,0,0,1024,17,10481910665
5,5,55945,55950,6,0,1,85504,9,9663820007
6,6,108010,108016,3,0,0,44032,6,3824898681
7,7,121161,121168,5,0,0,31744,19,1967199535
8,8,62663,62671,2,0,1,32256,10,676106062
9,9,63648,63657,7,0,1,1536,6,8609210304
10,8290,58273,66563,8,0,1,4608,3,6876454977
11,24880,46189,71069,4,0,1,7168,18,777964847
12,45851,200756,246607,2,0,0,3072,10,4231382628
13,89810,53753,143563,2,0,1,91136,10,9584778943
14,122370,36951,159321,2,0,1,50688,10,8020393448
15,128060,243943,372003,5,0,0,23040,19,6840283171
16,160570,76927,237497,4,0,0,512,18,1330845865
17,179850,74672,254522,0,0,0,10752,6,496133246
18,201080,350351,551431,3,0,0,154112,6,8636528334
19,213320,6229,219549,2,0,1,15360,10,6811348948
20,234680,10757,245437,1,0,1,17408,17,1870998790
21,247980,187980,435960,8,0,0,2048,3,9783353478
22,267660,1042,268702,9,0,1,1024,5,5664385814
23,280030,129080,409110,4,0,0,15872,18,6777649032
24,299250,113041,412291,1,0,1,183296,17,4379973141
25,306640,177447,484087,3,0,0,8704,6,7544131234
26,319090,93547,412637,7,0,1,512,6,7051355393
27,333930,95386,429316,2,0,1,63488,10,8493164872
28,376290,102571,478861,8,0,0,512,3,9307527524
29,384110,239358,623468,5,0,0,7168,19,5762772965
30,391220,38660,429880,9,0,1,10752,5,9535543875
31,442950,252206,695156,3,0,0,5120,6,8987912537
32,452290,1994,454284,7,0,1,2048,6,8670781891
33,455010,98376,553386,3,0,0,6144,6,4236868868
34,475820,75634,551454,2,0,1,67584,10,7158995409
35,492360,59109,551469,2,0,1,26624,10,758100322
36,495380,56104,551484,9,0,1,4608,5,5735835836
37,495860,55639,551499,2,0,1,1536,10,7014333541
38,510390,292104,802494,4,0,0,44032,18,2465164419
39,566140,289904,856044,5,0,0,9728,19,4899646092
40,567280,199343,766623,3,0,0,126464,6,9704141649
41,572680,2946,575626,2,0,1,3072,10,6711726752
42,579140,187685,766825,8,0,0,512,3,5890681804
43,583750,1042,584792,7,0,1,1024,6,8428800016
44,612180,168633,780813,8,0,0,512,3,7703893711
45,621230,2763,623993,1,0,1,512,17,8071124101
46,672770,3904,676674,9,0,1,10752,5,5907098071
47,713930,88743,802673,1,0,0,512,17,2514497455
48,726820,39818,766638,7,0,1,6144,6,6105896615
49,733780,35474,769254,1,0,1,2560,17,5834767074
50,740990,80157,821147,1,0,1,87552,17,412580772
51,787920,58470,846390,5,0,0,512,19,4495703738
52,821290,36346,857636,1,0,1,64000,17,7238223444
53,914250,203098,1117348,5,0,0,137728,19,7565106065
54,944620,2946,947566,2,0,1,3072,10,4331589144
55,967940,13600,981540,9,0,1,23040,5,9181454645
56,968470,91272,1059742,1,0,1,138240,17,4386762741
57,992850,68518,1061368,9,0,1,2560,5,9650924628
58,1028600,88771,1117371,1,0,1,72704,17,1993630697
59,1082800,150873,1233673,1,0,0,1536,17,6486905030
60,1152540,352868,1505408,4,0,0,1024,18,5152174035
61,1161150,343931,1505081,0,0,0,74752,6,6440961856
62,1173820,63878,1237698,6,0,1,107520,9,7932548613
63,1184960,96360,1281320,1,0,1,121856,17,2779768675
64,1195410,286523,1481933,1,0,0,1024,17,2260547637
65,1198210,83469,1281679,9,0,1,9728,5,7579238585
