RequestID,ArrivalTime,DelayTime,FinishTime,InitiatorID,TargetID,IOType,Size,VolumeID,Offset
0,0,15602,15602,0,0,1,29696,13,7754723726
1,1,202179,202180,1,0,0,116224,17,5958359940
2,2,133058,133060,6,0,0,50688,7,9917975716
3,3,22409,22412,5,0,1,22016,10,209943918
4,4,256270,256274,2,0,0,14336,11,7725116654
5,5,214141,214146,8,0,0,14848,3,1282402635
6,6,428117,428123,3,0,0,89088,7,2763209263
7,7,209576,209583,9,0,0,24064,16,7803123325
8,8,218233,218241,7,0,0,13312,2,5553438434
9,9,139477,139486,4,0,0,20992,6,8917321741
10,13900,16044,29944,1,0,1,23552,17,2062296882
11,25620,247958,273578,7,0,0,29696,2,5742810384
12,27290,477137,504427,7,0,0,49152,2,5218846135
13,29400,299258,328658,3,0,0,49152,7,506596358
14,44860,969719,1014579,9,0,0,31744,16,4945728427
15,50210,194972,245182,1,0,0,9216,17,8080453796
16,53080,418864,471944,1,0,0,10240,17,50214121
17,66341,5326,71667,2,0,1,5632,11,7311774305
18,70470,308103,378573,6,0,0,30208,7,2263243715
19,82550,12995,95545,9,0,1,25088,16,318356023
20,95540,162621,258161,3,0,0,6144,7,5560929974
21,97230,578909,676139,4,0,0,12288,6,4300139016
22,114100,18975,133075,1,0,1,4608,17,7590553489
23,137250,250030,387280,4,0,0,23552,6,8994132442
24,137701,6998,144699,2,0,1,13312,11,1614941843
25,145000,155019,300019,6,0,0,5632,7,8480265478
26,153591,1994,155585,8,0,1,2048,3,2273076216
27,153930,615743,769673,3,0,0,24064,7,5782157289
28,154670,446355,601025,1,0,0,18944,17,2816954421
29,162200,207154,369354,0,0,0,39424,13,10066126696
30,166340,265386,431726,2,0,0,11776,11,4351308674
31,173670,44834,218504,7,0,1,4608,2,7451492675
32,174920,585534,760454,9,0,0,11264,16,644152136
33,176729,448179,624908,5,0,0,78336,10,4711482066
34,177369,697060,874429,5,0,0,50688,10,7185611876
35,177830,43580,221410,9,0,1,4608,16,3601560703
36,181940,1022564,1204504,4,0,0,48128,6,515982031
37,183040,884908,1067948,7,0,0,63488,2,2542215016
38,191670,313716,505386,1,0,0,3072,17,1009710074
39,193240,259163,452403,8,0,0,3072,3,3117388433
40,195520,1031836,1227356,1,0,0,36864,17,6278706088
41,199720,895557,1095277,3,0,0,47616,7,9014917104
42,206390,15505,221895,0,0,1,10240,13,7870567906
43,210970,422705,633675,6,0,0,28672,7,4625220703
44,220130,1635675,1855805,4,0,0,35840,6,6075159513
45,222010,1092354,1314364,4,0,0,37888,6,3503268359
46,231861,14029,245890,8,0,1,27136,3,10109853106
47,233050,1342971,1576021,3,0,0,93184,7,9846299047
48,239640,1038016,1277656,7,0,0,38400,2,8652013767
49,241130,1685484,1926614,9,0,0,32768,16,2843962021
50,261060,422839,683899,6,0,0,512,7,1619400357
51,271350,797245,1068595,4,0,0,2048,6,5272549481
52,279590,1213082,1492672,7,0,0,51200,2,6804065194
53,296990,516975,813965,1,0,0,3072,17,8145285883
54,300100,1495719,1795819,2,0,0,35840,11,849422740
55,301380,2106009,2407389,1,0,0,57856,17,2305563624
56,309729,155262,464991,6,0,1,255488,7,3947679824
57,310530,347462,657992,0,0,0,3584,13,6527106793
58,310829,216014,526843,6,0,1,197632,7,8581125028
59,316780,873045,1189825,1,0,0,196608,17,8454782802
60,318340,1462909,1781249,3,0,0,11776,7,9942019974
61,333941,198599,532540,2,0,1,18944,11,780008248
62,334700,1301037,1635737,4,0,0,49664,6,856938237
63,338020,1270152,1608172,8,0,0,105472,3,5125277935
64,341440,899939,1241379,8,0,0,2560,3,5167851942
65,353150,2271076,2624226,2,0,0,74240,11,8388550900
66,363270,1421606,1784876,3,0,0,11776,7,3997552390
67,363640,1298679,1662319,6,0,0,78848,7,7932093725
68,365270,1392065,1757335,1,0,0,132608,17,9970230529
69,368400,468236,836636,6,0,0,3072,7,8891542092
70,370830,702319,1073149,6,0,0,14848,7,9071722140
71,381079,848804,1229883,5,0,0,8192,10,10117179356
72,381540,151666,533206,1,0,1,11264,17,1552433602
73,394930,3047933,3442863,8,0,0,44544,3,1758372644
74,400029,1039871,1439900,5,0,0,19456,10,4204240001
75,404470,1835810,2240280,2,0,0,47104,11,6959600865
76,406220,1920151,2326371,9,0,0,66048,16,2626452391
77,409460,936721,1346181,4,0,0,81408,6,8556233717
78,422280,111080,533360,7,0,1,8704,2,8132151889
79,425940,2877986,3303926,8,0,0,82944,3,9292421284
80,429160,1209120,1638280,4,0,0,8192,6,9391076872
81,444701,90042,534743,2,0,1,14848,11,6736579155
82,446220,2205849,2652069,8,0,0,41984,3,9154193573
83,455290,81719,537009,7,0,1,3584,2,2057326498
84,464330,896916,1361246,8,0,0,24576,3,6102234523
85,485100,1719628,2204728,9,0,0,512,16,10137135134
86,486640,1682639,2169279,4,0,0,134656,6,635073144
87,487050,1315852,1802902,2,0,0,23040,11,6280123044
88,496030,2016397,2512427,2,0,0,104448,11,1837257129
89,502341,35744,538085,8,0,1,13312,3,4394434457
90,515329,1612892,2128221,5,0,0,50176,10,10451576854
91,520410,2067525,2587935,3,0,0,58368,7,4274094283
92,528310,1092264,1620574,3,0,0,16896,7,10412508822
93,544280,957721,1502001,3,0,0,19968,7,4152098965
94,549490,2089118,2638608,4,0,0,3072,6,650496261
95,553040,1804627,2357667,7,0,0,3072,2,7458448829
96,555169,2126341,2681510,5,0,0,44032,10,1582504428
97,563210,3898,567108,7,0,1,4096,2,1323045250
98,601460,1315132,1916592,4,0,0,46592,6,9596115035
99,601580,2506608,3108188,8,0,0,105984,3,10163381131
100,611240,337268,948508,8,0,0,24064,3,6167063272
101,613409,3025291,3638700,5,0,0,98304,10,3663561093
102,620689,2455184,3075873,5,0,0,58368,10,396035864
103,631620,2872028,3503648,2,0,0,113152,11,384266827
104,637460,3093447,3730907,3,0,0,47616,7,9513153218
105,638980,1962611,2601591,8,0,0,22528,3,3776375811
106,646690,867179,1513869,6,0,0,24576,7,9150582310
107,650660,1534078,2184738,2,0,0,50688,11,4177206255
108,673539,1525121,2198660,5,0,0,40448,10,9833938526
109,681640,2915569,3597209,9,0,0,8192,16,1126756051
110,696110,519999,1216109,9,0,0,25088,16,5403407006
111,699150,1505391,2204541,9,0,0,3072,16,9600132819
112,704390,7230,711620,0,0,1,7680,13,6935031750
113,707800,1304384,2012184,4,0,0,36864,6,5775213824
114,708080,7406,715486,1,0,1,6144,17,5656666850
115,708420,500030,1208450,2,0,0,11264,11,3362580837
116,713510,2240945,2954455,1,0,0,2048,17,4199274436
117,714119,1217510,1931629,5,0,0,16384,10,9931300753
118,723220,3279032,4002252,2,0,0,34304,11,5662436547
119,723450,1570339,2293789,7,0,0,48128,2,10348988128
120,748990,1028648,1777638,4,0,0,66560,6,6211981359
121,753061,16635,769696,2,0,1,20992,11,3776370980
122,762770,43783,806553,7,0,1,65024,2,8502683336
123,766250,910334,1676584,4,0,0,46592,6,5901103678
124,770850,2102200,2873050,2,0,0,29184,11,8365502923
125,796510,728914,1525424,7,0,0,12800,2,3258088576
126,806230,1380083,2186313,0,0,0,5120,13,5994255682
127,807030,539946,1346976,9,0,0,2560,16,10121447990
128,808950,2497371,3306321,4,0,0,7680,6,10271862540
129,810270,3392965,4203235,6,0,0,84992,7,2065977163
130,810490,394505,1204995,4,0,0,1536,6,658054082
131,815240,1283878,2099118,2,0,0,28672,11,9003246905
132,827160,991652,1818812,6,0,0,512,7,4132592272
133,832270,2703545,3535815,2,0,0,105472,11,4979200233
134,846510,768853,1615363,4,0,0,23552,6,675030152
135,846840,2692454,3539294,6,0,0,11264,7,10224513076
136,846870,3052861,3899731,8,0,0,200192,3,4255321853
137,860310,1957335,2817645,3,0,0,47616,7,3154659482
138,896270,1663125,2559395,6,0,0,97280,7,2950936171
139,906879,161731,1068610,6,0,1,253952,7,8625962283
140,915570,157594,1073164,0,0,1,27648,13,2134852068
141,920360,3474378,4394738,4,0,0,74752,6,279851225
142,923610,4120817,5044427,2,0,0,41984,11,3148451835
143,947371,125808,1073179,2,0,1,5632,11,8079753295
144,947960,2591661,3539621,8,0,0,1024,3,3588158230
145,948950,3655123,4604073,1,0,0,50176,17,10536338372
146,965610,1007498,1973108,2,0,0,35840,11,6139694158
147,966870,3891315,4858185,6,0,0,14848,7,9495322308
148,969270,1393404,2362674,4,0,0,9216,6,696792644
149,976749,2688813,3665562,5,0,0,56832,10,2418516264
150,980060,1610104,2590164,1,0,0,3584,17,3052374852
151,1024510,2309862,3334372,9,0,0,52736,16,9195948447
152,1026630,1176912,2203542,2,0,0,2560,11,120428700
153,1032980,2938588,3971568,2,0,0,157696,11,8379724578
154,1052990,1226120,2279110,4,0,0,13824,6,125063541
155,1079890,869345,1949235,1,0,0,5120,17,8460724403
156,1088090,2714438,3802528,6,0,0,3072,7,4948360795
157,1089630,7658,1097288,0,0,1,2048,13,4233713580
158,1118880,2901039,4019919,0,0,0,57856,13,2465907663
159,1129810,702971,1832781,6,0,0,7168,7,203361440
160,1136450,1696665,2833115,3,0,0,5632,7,3484605533
161,1153570,94911,1248481,7,0,1,34304,2,3663058401
162,1193430,1009309,2202739,6,0,0,13312,7,3134882943
163,1228250,1987333,3215583,7,0,0,54272,2,2135791241
164,1238250,3133689,4371939,1,0,0,15360,17,5114425037
165,1240290,8550,1248840,0,0,1,9728,13,800168658
166,1243691,7095,1250786,2,0,1,3072,11,6437461553
167,1244460,1586772,2831232,6,0,0,44544,7,3204552537
168,1249710,1528359,2778069,9,0,0,46080,16,6158116552
169,1263080,4011983,5275063,7,0,0,39424,2,3454761959
170,1268430,1157643,2426073,8,0,0,7168,3,3517345045
171,1277630,967197,2244827,6,0,0,14848,7,51122233
172,1296579,2802055,4098634,5,0,0,86528,10,1132774421
173,1303110,3310182,4613292,7,0,0,30208,2,3817011736
174,1332460,3089905,4422365,7,0,0,90624,2,8718968787
175,1342200,3092551,4434751,0,0,0,3584,13,3067194326
176,1347341,2870,1350211,2,0,1,8704,11,4750723802
177,1352650,1450472,2803122,0,0,0,7680,13,5175190166
178,1356110,1206264,2562374,0,0,0,9728,13,6673107103
179,1358030,2071221,3429251,0,0,0,46080,13,10261322935
180,1366680,2742163,4108843,4,0,0,25088,6,8248306322
181,1374289,2925728,4300017,5,0,0,6656,10,7687964189
182,1377090,3939414,5316504,6,0,0,66048,7,3604878726
183,1381400,2286361,3667761,4,0,0,7168,6,10062076174
184,1385920,2535838,3921758,1,0,0,72192,17,1871473753
185,1394110,2592496,3986606,2,0,0,34816,11,5147875733
186,1416960,1859588,3276548,8,0,0,108032,3,8181059268
187,1417711,6754,1424465,2,0,1,7168,11,1753283619
188,1441341,6754,1448095,3,0,1,7168,7,5803984126
189,1446280,4937,1451217,9,0,1,12800,16,6566915256
190,1457420,2086452,3543872,6,0,0,13824,7,11247089
191,1462361,3422,1465783,3,0,1,3584,7,9978310031
192,1483071,18945,1502016,8,0,1,4096,3,7310216689
193,1497180,1680939,3178119,0,0,0,39936,13,10531109081
194,1505030,3075629,4580659,0,0,0,113664,13,1396603734
195,1511840,3387461,4899301,6,0,0,17920,7,9658064762
196,1520980,2727689,4248669,1,0,0,99840,17,8671797018
197,1522900,1693166,3216066,4,0,0,1536,6,10612396761
198,1525290,2226066,3751356,2,0,0,14336,11,6841622011
199,1531980,2933895,4465875,8,0,0,45568,3,5400963544
200,1534590,3685437,5220027,8,0,0,99328,3,5657333323
201,1560751,101583,1662334,3,0,1,1536,7,7520771954
202,1570720,91629,1662349,8,0,1,5632,3,4897124102
203,1575880,3861104,5436984,7,0,0,32256,2,5031452431
204,1579100,2069131,3648231,8,0,0,31232,3,5448838041
205,1579210,4452604,6031814,1,0,0,74240,17,5690246470
206,1593360,3936871,5530231,4,0,0,37888,6,8871961318
207,1598230,2545500,4143730,2,0,0,73216,11,1083190295
208,1603950,3738192,5342142,2,0,0,9728,11,3450159253
209,1612110,1838740,3450850,6,0,0,26112,7,7025603771
210,1618700,1045309,2664009,0,0,0,512,13,4733923303
211,1657390,3512328,5169718,7,0,0,83968,2,6974232342
212,1659250,1933405,3592655,3,0,0,20992,7,8337673639
213,1660300,4038984,5699284,6,0,0,75776,7,4197542295
214,1664930,1804187,3469117,6,0,0,59904,7,6311686478
215,1679460,3565721,5245181,4,0,0,56320,6,7701077726
216,1706400,1527016,3233416,8,0,0,36864,3,8475749946
217,1720540,82377,1802917,0,0,1,1536,13,2435967537
218,1725370,77570,1802940,9,0,1,4096,16,2881053248
219,1727940,3262117,4990057,4,0,0,15360,6,7643811787
220,1729500,1969164,3698664,0,0,0,101376,13,5877108587
221,1729540,3498466,5228006,3,0,0,26112,7,5194400347
222,1755290,4110403,5865693,0,0,0,41984,13,1764406217
223,1771020,2447214,4218234,8,0,0,49152,3,7137008196
224,1773670,4111525,5885195,3,0,0,17408,7,556932025
225,1780211,34973,1815184,8,0,1,20480,3,5620802775
226,1781700,6389037,8170737,8,0,0,64512,3,1058267950
227,1801430,4605751,6407181,0,0,0,19968,13,7032593152
228,1808780,3368137,5176917,7,0,0,23552,2,10315377073
229,1814169,4994848,6809017,5,0,0,217600,10,6016473640
230,1818390,2975754,4794144,3,0,0,4608,7,4753935
231,1830880,5431079,7261959,2,0,0,67072,11,3325441214
232,1838170,2610504,4448674,7,0,0,45568,2,3932215087
233,1878360,38255,1916615,1,0,1,48640,17,6691083893
234,1883779,2549857,4433636,5,0,0,36864,10,9309272573
235,1891880,2757250,4649130,8,0,0,1536,3,1278101062
236,1894969,5039487,6934456,5,0,0,411648,10,5890133816
237,1895019,4499605,6394624,5,0,0,41984,10,6614154169
238,1900750,3674974,5575724,4,0,0,15360,6,9481755355
239,1901740,4686525,6588265,7,0,0,54784,2,2322837642
240,1904920,2256453,4161373,4,0,0,57856,6,5271906066
241,1912080,2079697,3991777,2,0,0,16896,11,8627478985
242,1921030,716627,2637657,2,0,0,44032,11,6104950878
243,1941220,5033046,6974266,4,0,0,20992,6,10045384023
244,1944360,4153769,6098129,0,0,0,217600,13,1427081198
245,1951790,2149386,4101176,6,0,0,2560,7,9834180443
246,1961591,11548,1973139,2,0,1,16384,11,6935425991
247,1963860,2136521,4100381,6,0,0,5632,7,4062376922
248,1966410,6642291,8608701,1,0,0,14848,17,3830630533
249,1997990,14217,2012207,7,0,1,26112,2,3849570645
250,2005070,5137586,7142656,2,0,0,127488,11,5292089722
251,2012360,3331677,5344037,0,0,0,6144,13,3685526923
252,2012400,2643765,4656165,6,0,0,23040,7,519971317
253,2025790,2472017,4497807,7,0,0,9216,2,5947013834
254,2033439,1994702,4028141,5,0,0,26112,10,8035895722
255,2037910,4929945,6967855,0,0,0,109568,13,8871019464
256,2052640,6306575,8359215,3,0,0,26624,7,1282092924
257,2072350,4850,2077200,9,0,1,5120,16,8019844386
258,2077290,6178270,8255560,3,0,0,90112,7,10633286952
259,2095100,6490912,8586012,8,0,0,93696,3,7210184176
260,2095940,5047995,7143935,7,0,0,4096,2,9955834980
261,2104440,3128,2107568,1,0,1,9216,17,6427433531
262,2105471,22765,2128236,2,0,1,15360,11,5678134359
263,2128120,88946,2217066,4,0,1,20992,6,9577256151
264,2149340,3631262,5780602,6,0,0,44032,7,5800530857
265,2152490,3186649,5339139,0,0,0,74240,13,10653410071
266,2158800,2749043,4907843,1,0,0,2048,17,4676308467
267,2168730,2099198,4267928,7,0,0,13312,2,965648720
268,2169130,3020594,5189724,3,0,0,41984,7,3152488075
269,2174180,1749309,3923489,1,0,0,5632,17,2368285161
270,2178280,2807066,4985346,8,0,0,56320,3,3881411249
271,2182120,2552498,4734618,4,0,0,19968,6,9223716647
272,2188860,3393743,5582603,1,0,0,22528,17,2028527327
273,2217450,3791729,6009179,7,0,0,111104,2,225214644
274,2220760,6316534,8537294,1,0,0,145408,17,9822706575
275,2231550,5833709,8065259,0,0,0,27136,13,2523754519
276,2238180,19722,2257902,8,0,1,22016,3,8328884879
277,2256420,11274,2267694,1,0,1,18432,17,9060933394
278,2256610,3588537,5845147,3,0,0,22016,7,7170480665
279,2260439,3340275,5600714,5,0,0,59392,10,1541737217
280,2268980,6674718,8943698,4,0,0,156672,6,7858214550
281,2279230,6512800,8792030,3,0,0,24064,7,6015905648
282,2280541,19236,2299777,8,0,1,14848,3,4103621799
283,2294370,1503675,3798045,0,0,0,2048,13,945837349
284,2302920,5323593,7626513,8,0,0,68608,3,9480975074
285,2305110,21276,2326386,7,0,1,8704,2,5991849131
286,2324240,4761172,7085412,7,0,0,160256,2,1275027592
287,2325090,2301789,4626879,6,0,0,44544,7,8932488508
288,2332620,1700961,4033581,8,0,0,1536,3,2714887474
289,2351460,3087451,5438911,2,0,0,6144,11,872668603
290,2356670,2280827,4637497,6,0,0,17920,7,10126130813
291,2358570,5245256,7603826,2,0,0,68608,11,9740806832
292,2361470,5830662,8192132,7,0,0,70144,2,398221467
293,2363470,2306022,4669492,4,0,0,18432,6,1534458951
294,2378311,5454,2383765,3,0,1,13824,7,8015329963
295,2394529,509135,2903664,6,0,1,802816,7,8790740626
296,2401310,2298793,4700103,4,0,0,16384,6,3959543530
297,2406510,498780,2905290,0,0,1,2560,13,6257040411
298,2424760,622012,3046772,1,0,0,5632,17,664353127
299,2447750,6981333,9429083,1,0,0,159744,17,861350768
300,2455750,4694806,7150556,8,0,0,7680,3,3903726882
301,2457130,1352135,3809265,2,0,0,3584,11,7581697062
302,2462830,5032328,7495158,0,0,0,18432,13,4133420808
303,2472499,26927074,29399573,6,0,1,356864,7,5513309828
304,2483960,2943181,5427141,0,0,0,101376,13,479407453
305,2506040,3839883,6345923,4,0,0,9216,6,2600293371
306,2514910,3020558,5535468,2,0,0,11264,11,3224420169
307,2517730,27185226,29702956,1,0,1,2048,17,8441657366
308,2527931,27524354,30052285,3,0,1,35840,7,3546155508
309,2530280,2746202,5276482,1,0,0,4608,17,5693162422
310,2531020,3278160,5809180,4,0,0,32768,6,8322283135
311,2542770,28307967,30850737,1,0,1,9216,17,9800772435
312,2546360,5088061,7634421,6,0,0,18944,7,2211552521
313,2567259,3003770,5571029,5,0,0,46080,10,6631820372
314,2569989,5816398,8386387,5,0,0,27136,10,7574752035
315,2581980,1964032,4546012,7,0,0,45568,2,5212537660
316,2586210,28993425,31579635,8,0,1,54784,3,3530192109
317,2588410,5715357,8303767,2,0,0,70656,11,3288128418
318,2592880,7954742,10547622,3,0,0,16384,7,10169733236
319,2594290,2269214,4863504,8,0,0,17408,3,4880978727
320,2597790,29124386,31722176,1,0,1,23040,17,5394518503
321,2598249,6186426,8784675,5,0,0,43520,10,1301155808
322,2611400,29621433,32232833,1,0,1,512,17,432833658
323,2613600,6564597,9178197,6,0,0,76288,7,3537220926
324,2616960,7238696,9855656,2,0,0,21504,11,1670220656
325,2618690,3337591,5956281,6,0,0,1536,7,4128786385
326,2627560,3118003,5745563,4,0,0,40448,6,8040209878
327,2628301,29605518,32233819,2,0,1,1536,11,8497409427
328,2633250,6336679,8969929,3,0,0,86016,7,5473411569
329,2638090,30383376,33021466,1,0,1,33280,17,2255596652
330,2639490,6982521,9622011,1,0,0,75776,17,8910540580
331,2654851,30369201,33024052,2,0,1,4096,11,10329853316
332,2670940,360807,3031747,3,0,0,8704,7,10404441020
333,2672121,30555792,33227913,2,0,1,15872,11,10324201009
334,2692310,6128314,8820624,6,0,0,80384,7,4322025734
335,2707720,7690592,10398312,6,0,0,87040,7,10375511171
336,2708199,3959240,6667439,5,0,0,99328,10,4744837188
337,2713480,5156255,7869735,2,0,0,109568,11,9706874726
338,2714080,4381830,7095910,2,0,0,6144,11,4807160566
339,2728840,549751,3278591,2,0,0,6656,11,5752151113
340,2732410,3373114,6105524,8,0,0,24064,3,3204165541
341,2738870,30496117,33234987,1,0,1,19968,17,7431718741
342,2748300,2741263,5489563,6,0,0,45568,7,3951426300
343,2759870,4950237,7710107,3,0,0,38400,7,9860040648
344,2766020,4270541,7036561,2,0,0,27136,11,8540808872
345,2778200,4893397,7671597,7,0,0,19968,2,9397562381
346,2800220,8028258,10828478,3,0,0,27648,7,5393208716
347,2801549,3012170,5813719,5,0,0,14848,10,1105623826
348,2804480,1215634,4020114,3,0,0,512,7,5083399986
349,2805190,30509770,33314960,7,0,1,4608,2,4508708571
350,2816740,8470778,11287518,1,0,0,5120,17,7459919507
351,2834440,5894177,8728617,8,0,0,13824,3,3089472554
352,2839860,6935722,9775582,4,0,0,12288,6,2525411691
353,2840170,30799093,33639263,7,0,1,23552,2,2840551663
354,2840220,4476229,7316449,8,0,0,170496,3,10024095383
355,2842509,1133450,3975959,5,0,0,14336,10,1303382661
356,2845720,1967753,4813473,4,0,0,5632,6,4892969923
357,2847811,30795329,33643140,2,0,1,20992,11,5042415946
358,2853190,5409421,8262611,1,0,0,23040,17,7412605790
359,2856401,31036553,33892954,2,0,1,29184,11,1398872182
360,2858769,2789579,5648348,5,0,0,25600,10,2450863944
361,2870240,6152798,9023038,6,0,0,125440,7,5451091167
362,2890500,5043071,7933571,6,0,0,24064,7,2528733155
363,2896290,30996687,33892977,9,0,1,8704,16,9701425970
364,2897530,2454634,5352164,1,0,0,26624,17,5666939019
365,2900369,3413658,6314027,5,0,0,86016,10,9437581803
366,2905550,6908503,9814053,7,0,0,40448,2,8895320826
367,2910460,30982540,33893000,1,0,1,11264,17,8778843359
368,2922790,31059885,33982675,1,0,1,13312,17,5605886392
369,2925200,4093375,7018575,7,0,0,43008,2,8117079495
370,2932290,6091083,9023373,1,0,0,1024,17,1409955077
371,2940390,6095531,9035921,0,0,0,20992,13,171583484
372,2945330,5282751,8228081,6,0,0,86016,7,6810738705
373,2949479,4373233,7322712,5,0,0,20480,10,4880026678
374,2955050,3408554,6363604,0,0,0,10752,13,2510752030
375,2971820,6353986,9325806,6,0,0,198656,7,10479128257
376,2981760,1271348,4253108,8,0,0,14336,3,4512040850
377,2994490,2738734,5733224,0,0,0,11776,13,9743400773
378,3020140,4362158,7382298,8,0,0,91648,3,8782595929
379,3027670,2789808,5817478,8,0,0,12288,3,3055916975
380,3039430,6594023,9633453,4,0,0,13824,6,3913763823
381,3043280,31063629,34106909,7,0,1,6656,2,4693357389
382,3043670,5557497,8601167,8,0,0,49664,3,4448201284
383,3047310,31142075,34189385,0,0,1,1024,13,1570991871
384,3048530,6693545,9742075,2,0,0,220160,11,2034341559
385,3051300,8060074,11111374,3,0,0,60416,7,10600142957
386,3062800,4081938,7144738,4,0,0,2560,6,8687430615
387,3077990,3028485,6106475,8,0,0,3072,3,7035933115
388,3078629,32663710,35742339,6,0,1,179712,7,10539761712
389,3078970,4503929,7582899,2,0,0,30208,11,2722441902
390,3087760,5770826,8858586,8,0,0,65024,3,320894934
391,3095340,5508814,8604154,7,0,0,9728,2,9775658714
392,3098980,2700201,5799181,4,0,0,60928,6,6389091436
393,3104100,4770182,7874282,7,0,0,14848,2,10105970614
394,3104360,3638342,6742702,0,0,0,104448,13,2186209082
395,3119280,4209851,7329131,7,0,0,20992,2,5887563092
396,3127680,8623690,11751370,0,0,0,12800,13,2011605096
397,3135639,6991809,10127448,5,0,0,95232,10,6819122906
398,3137950,3269558,6407508,0,0,0,1024,13,3867793823
399,3139340,4743389,7882729,3,0,0,27648,7,5816816267
400,3143260,4313278,7456538,9,0,0,27136,16,5021616212
401,3144400,3532252,6676652,3,0,0,20992,7,596445781
402,3158470,3846978,7005448,7,0,0,95744,2,9651222819
403,3159490,6667534,9827024,6,0,0,42496,7,7830055714
404,3161250,5396191,8557441,8,0,0,66048,3,7830332098
405,3204139,33364391,36568530,6,0,1,101376,7,9331179670
406,3210440,5167656,8378096,8,0,0,58880,3,2620981732
407,3211950,6572859,9784809,9,0,0,30208,16,3874675683
408,3213120,5625631,8838751,8,0,0,59392,3,4322962034
409,3215960,7081921,10297881,0,0,0,4608,13,2228049086
410,3219600,3294354,6513954,1,0,0,35840,17,8040030519
411,3234030,2028958,5262988,9,0,0,58368,16,3219938933
412,3234100,33378514,36612614,9,0,1,6656,16,4039547287
413,3245750,5525642,8771392,3,0,0,60928,7,9578663105
414,3249960,8645998,11895958,0,0,0,79872,13,4456073621
415,3250999,3897194,7148193,1,0,0,11264,17,2180867946
416,3280310,33527997,36808307,0,0,1,46592,13,4459842559
417,3280460,6698743,9979203,9,0,0,6656,16,4614613274
418,3283610,4539513,7823123,9,0,0,96768,16,6118130871
419,3298250,6861403,10159653,6,0,0,84992,7,48848870
420,3304630,5579586,8884216,6,0,0,20480,7,10266022834
421,3317320,33629747,36947067,4,0,1,14336,6,9090334026
422,3330660,3763355,7094015,3,0,0,28160,7,1877938797
423,3335969,2781761,6117730,5,0,0,36864,10,7484541096
424,3344889,4805974,8150863,1,0,0,39936,17,3547060939
425,3362230,3088601,6450831,8,0,0,3072,3,8752389827
426,3367169,33803836,37171005,6,0,1,93696,7,10008833299
427,3382029,4397284,7779313,1,0,0,3072,17,5305089974
428,3388470,8896475,12284945,8,0,0,514560,3,9184563918
429,3390870,5870774,9261644,7,0,0,215552,2,2955808070
430,3394790,6735957,10130747,7,0,0,10752,2,9583630024
431,3398169,6778355,10176524,5,0,0,55296,10,9984985193
432,3400170,33770858,37171028,8,0,1,1536,3,6790079121
433,3400200,5941587,9341787,9,0,0,5120,16,6920036864
434,3402090,8279965,11682055,0,0,0,169984,13,4124204271
435,3410249,7265102,10675351,1,0,0,16384,17,8553048080
436,3423430,6055284,9478714,7,0,0,162816,2,4978683605
437,3431960,3101304,6533264,6,0,0,16384,7,7506093181
438,3433460,4131765,7565225,0,0,0,90112,13,5623123869
439,3443050,7154060,10597110,7,0,0,22528,2,662439795
440,3448080,6226892,9674972,7,0,0,136192,2,7931957611
441,3457420,3983005,7440425,6,0,0,8192,7,408989886
