SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1035	508	508
2042	1247	1247
3063	1789	1789
4087	2479	2479
5092	3057	3057
6112	3728	3728
7126	4204	4204
8140	4742	4742
9145	5411	5411
10169	5940	5940
11169	6320	6320
12172	6916	6916
13185	7693	7693
14187	8222	8222
15205	8884	8884
16254	9240	9240
17267	9799	9799
18277	10045	10045
19290	10298	10298
20295	10598	10598
21299	11194	11194
22344	11500	11500
23367	11528	11528
24371	11813	11813
25374	12337	12337
26377	12787	12787
27392	13379	13379
28397	13977	13977
29499	14564	14564
30533	15227	15227
31596	15669	15669
32625	16184	16184
33629	16517	16517
34638	16854	16854
35686	16987	16987
36703	17398	17398
37723	17841	17841
38745	18047	18047
39748	18355	18355
40758	18819	18819
41772	19143	19143
42775	19599	19599
43782	19949	19949
44816	20223	20223
45819	20606	20606
46836	20993	20993
47859	21278	21278
48860	21749	21749
49896	22076	22076
50928	22518	22518
51943	22950	22950
52964	23363	23363
53985	23744	23744
55020	24248	24248
56056	24785	24785
57108	25350	25350
58116	26008	26008
59126	26451	26451
60149	26715	26715
61184	26970	26970
62195	27492	27492
63221	27746	27746
64226	28089	28089
65237	28688	28688
66238	28979	28979
67246	29615	29615
68286	30023	30023
69316	30608	30608
70318	31233	31233
71347	31824	31824
72350	32331	32331
73351	32805	32805
74378	33329	33329
75380	34079	34079
76396	34643	34643
77406	35305	35305
78427	35829	35829
79455	36564	36564
80483	37205	37205
81490	37851	37851
82522	38438	38438
83566	39051	39051
84594	39449	39449
85631	40043	40043
86737	40423	40423
87747	41072	41072
88751	41746	41746
89758	42229	42229
90765	42622	42622
91780	42927	42927
92784	42601	42601
93810	41498	41498
94818	41561	41561
95820	41274	41274
96823	40695	40695
97825	39923	39923
98869	38714	38714
99880	36910	36910
100954	32383	32383
102011	23407	23407
103167	9249	9249
104642	3	3
105769	3	3
106862	5	5
108049	25	25
109275	5	5
110402	1	1
111483	6	6
112738	8	8
113855	4	4
114945	9	9
116033	2	2
117048	14	14
118402	3	3
119474	9	9
121428	5	5
122923	2	2
124298	2	2
126149	5	5
127158	5	5
128461	1	1
129729	1	1
130752	6	6
132248	7	7
133604	3	3
134728	5	5
136077	3	3
137119	5	5
139145	3	3
140695	6	6
141937	3	3
143265	10	10
144437	1	1
145857	2	2
147487	4	4
149240	2	2
151384	2	2
152462	16	16
154645	5	5
155706	3	3
156721	26	26
157800	4	4
158868	4	4
159941	5	5
161161	3	3
164090	3	3
165383	1	1
166802	6	6
168205	4	4
169244	6	6
170424	3	3
171772	6	6
173702	6	6
174951	5	5
177670	2	2
179185	4	4
181170	6	6
182279	5	5
183465	8	8
184562	4	4
185572	13	13
187066	2	2
188075	21	21
189463	1	1
192432	2	2
194127	5	5
195842	0	0
